GenConBlf,VacConBlf,InfoPros_Analytic,InfoPros_Experiential,Aff_MMR,Aff_Cov,RskMsl,RskCov,RskMmrVac,RskCovVac,BnfMmrVac,BnfCovVac,VacIntMMR,VacIntCOV_Child,VacIntCOV_Self,HstMMR_inconfidence,HstMMR_risk,HstCov_risk,HstCov_inconfidence,AttdMMRVac,AttdMeasles,AttdCovVac,AttdCov19,SbjNrmMMR,BhvCtrlMMR,SbjNrmCov,BhvCtrlCov,Condition,Gender,Ethnicity,Race,PolIdeo,SlfPolIdeo,age,marital,ChildNum,Income,Edu,Employ,States
2.66666666666667,2.42857142857143,1.8,3.4,2,2,1,3,2,3,2,3,2,1.5,2.5,3.42857142857143,3,2.5,3.42857142857143,2.5,2.8,2.5,2.8,3,3.5,3,2,0,2,2,2,2,3,2,4,1,2,2,4,35
2.73333333333333,4.71428571428571,7,1.2,1,1,4,2,4,4,1,1,1,1,1, , , , , , , , , , , , ,0, , , , , , , , , , , , 
2.86666666666667,3.42857142857143,4.8,2,3,1,3,3,3,4,4,1,2.5,2,1,2.57142857142857,3,3,3.57142857142857,2.83333333333333,3.2,3.16666666666667,1.4,2.5,4,3.5,2.5,1,2,2,1,1,1,3,1,1,10,5,6,1
4,4.28571428571429,4.6,3.4,2,2,5,2,5,5,2,2,1,1.5,2,3.14285714285714,4.5,4.5,3.42857142857143,2.83333333333333,3.8,2.16666666666667,2.8,3,3,3,3.5,2,1,2,4,2,1,2,1,1,6,5,6,5
3,3.28571428571429,5.2,4.4,3,4,2,4,2,3,3,4,2,3,3.5,3,3.5,2.5,2.71428571428571,3.5,2.6,2.66666666666667,3.4,3.5,2,3.5,3,3,1,2,1,4,2,2,5,1,4,2,6,43
3.86666666666667,4.28571428571429,3.4,5.5,3,4,4,5,5,1,2,4,3,4,3,2.85714285714286,3.5,2.5,2.66666666666667,2.83333333333333,3,3,2.4,3,2.5,3,4,2,2,2,1,3,3,2,5,1,10,5,6,24
4.53333333333333,4.71428571428571,5.8,5.2,2,1,1,2,3,4,1,1,1,1,1,4.85714285714286,5,1,4.57142857142857,2.66666666666667,1.8,1.83333333333333,1.6,2,1,1,3.5,0,2,2,1,1,1,3,1,1,3,3,9,1
3.86666666666667,4,6,5.4,5,4,2,2,4,5,3,4,4.5,4.5,4.5,1.85714285714286,3.5,4.5,1.42857142857143,2.5,3.8,3,3.4,5,4,5,4.5,0,1,2,1,2,2,2,1,1,4,6,6,9
3,3,3.8,3.4,3,4,3,3,3,3,4,2,2.5,2.5,2,3.57142857142857,1,4,3.57142857142857,3.5,3.2,2.66666666666667,3,2.5,2.5,3.5,4,0,1,2,2,3,3,2,5,1,5,5,7,5
4,4.57142857142857,6,2.6,2,2,1,2,3,3,2,2,1,1,1,4,3.5,4,4.71428571428571,3.66666666666667,1.6,2.83333333333333,3.6,4.5,4,2,3,3,2,2,1,4,2,3,5,2,3,5,6,13
3,3,2.6,2.8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,1,2,1,4,2,2,5,3,5,6,6,13
3.86666666666667,3.57142857142857,5.6,5.6,5,5,5,2,3,4,4,5,3.5,4.5,3,2.28571428571429,3, , , , , , , , , , ,3, , , , , , , , , , , , 
3.6,4.57142857142857,5.4,5.8,4,4,4,4,4,4,4,4,4,4,4,1.57142857142857,4,4,1.57142857142857,2.33333333333333,4,2.16666666666667,3.6,5,5,4,4.5,0,2,2,2,2,2,2,1,1,2,5,6,43
4.93333333333333,4.57142857142857,7,1,3,1,5,5,5,5,3,1,1,1,1,2.71428571428571,3,3,5,2.5,4.6,2.33333333333333,3.4,3,3,1,3,3,2,2,2,3,2,3,5,1,2,4,6,33
3.8,2.85714285714286,5.4,3,4,3,4,5,3,4,5,4,4,4,3.5,1.85714285714286,4,4.5,2,3.33333333333333,4.4,3.16666666666667,4.4,3.5,4.5,4,3,1,2,2,1,4,2,2,3,1,7,5,6,32
3.33333333333333,4.14285714285714,5,2.2,3,3,3,3,2,5,3,2,2.5,3.5,4,3,3.5,4,3.28571428571429,3,3.6,3,4,4,4.5,3.5,3,0,1,2,1,2,1,2,3,3,4,3,6,7
3.4,3.57142857142857,4.6,5,4,3,4,4,3,4,3,2,2.5,3,2.5,2.57142857142857,4,4,2.57142857142857,3.16666666666667,3.75,2.5,3.2,4,3.5,3.5,3.5,1,1,1,4,2,3,3,1,2,6,6,6,9
2.86666666666667,3.28571428571429,4.2,4.6,4,3,4,3,4,3,3,2,3,3,3.5,2.57142857142857,3,2.5,2.42857142857143,3.33333333333333,3.4,3.33333333333333,2.8,3,2.5,3.5,4.5,3,2,1,2,4,1,2,1,2,2,5,6,24
3.73333333333333,4,4.2,3.4,3,3,4,4,4,3,3,3,3,3,1,3.14285714285714,3.5,2.5,2.85714285714286,3,3,2.83333333333333,2.8,2.5,2.5,2.5,3,1,1,2,6,4,2,2,1,3,11,6,6,43
4.46666666666667,4.57142857142857,6.6,6.4,5,4,5,4,5,4,5,4,3.5,4,4,1.57142857142857,5,4,1.28571428571429,2.16666666666667,3.8,2.33333333333333,4,4.5,4.5,4.5,4.5,1,2,2,1,4,2,2,1,2,10,6,6,5
4.06666666666667,3.85714285714286,5.4,4.4,4,3,5,4,4,4,4,4,3.5,4,3.5,2.28571428571429,3.5,4,2,2.66666666666667,3.2,2.5,3.4,3.5,3.5,5,4.5,3,1,1,3,4,2,2,1,2,11,5,6,2
4,3.14285714285714,5,1,3,3,3,3,3,3,3,3,4,4,4,2.42857142857143,3.5,3.5,2.28571428571429,4.16666666666667,3.4,3.5,3.8,3,3.5,4,4,1,2,2,4,3,3,2,5,1,11,6,7,5
3.46666666666667,5,6.2,2,1,2,3,3,4,3,3,2,1,1.5,1.5,4.57142857142857,4.5,4,4.71428571428571,2.5,3,2.66666666666667,3.2,4,3.5,3,3.5,3,1,2,1,2,1,3,1,1,9,5,6,29
2.33333333333333,3.42857142857143,5.6,2.6,2,2,3,5,4,4,2,2,1,1,1,2.42857142857143,3,1.5,3.42857142857143,2.83333333333333,3.4,2.5,3.2,2.5,4,3.5,4.5,0,1,2,6,4,2,2,5,4,12,5,6,38
2.93333333333333,3.14285714285714,3.6,3.6,5,4,4,5,3,3,4,4,4,3.5,4.5,2.42857142857143,4,2,2.14285714285714,3.16666666666667,2.4,3,3.6,3.5,4,4,2.5,2,1, ,1,3,2,2,4,1,4,6,7,32
3.86666666666667,4.28571428571429,2.4,1.4,2,1,1,1,2,1,2,1,1.5,1.5,1.5,4.14285714285714,2,2.5,4.42857142857143,3.66666666666667,2.4,3,2.6,2,2.5,2.5,1,1,1,2,4,5,2,2,1,1,4,5,6,9
3.66666666666667,4.57142857142857,6.8,2.8,3,3,3,2,2,2,3,3,4,5,5,1.42857142857143,4.5,3.5,1.42857142857143,3.16666666666667,3.4,2.66666666666667,3.2,4,4,3.5,4.5,2,1,2,4,3,3,2,1,1,8,5,6,5
4.26666666666667,3.57142857142857,4.2,2.6,2,2,3,3,4,3,3,3,1,1,1,4,3.5,1.5,4.85714285714286,3.66666666666667,3.2,2.66666666666667,2.8,4,4.5,4,3.5,2,2,2,1,3,1,2,4,1,2,4,6,38
3.46666666666667,4,4.6,5,4,3,4,5,4,4,3,4,3.5,4,3.5,2.42857142857143,4,4,2.28571428571429,2.83333333333333,3.8,2.5,3.6,4,4,4,2,2,2,1,2,2,2,2,1,2,2,6,6,5
2.66666666666667,3.42857142857143,4.8,4.6,3,4,5,2,5,4,1,5,3,4,3.5,2.28571428571429,4,5,2.71428571428571,3.5,2.6,2.66666666666667,3.8,4,3.5,3,4.5,0,1,2,1,2,2,2,1,2,2,5,6,10
3.46666666666667,3.14285714285714,4.6,4,3,4,3,3,4,5,4,4,2.5,3.5,4,2.42857142857143,3.5,4,2.57142857142857,3.5,3,3.16666666666667,3.2,3.5,3.5,3.5,3.5,2,1,2,3,3,2,2,1,2,11,6,6,43
4,4,4.2,2.2,2,2,2,2,2,2,2,2,2,2,2,3.57142857142857,2.5,4,2.14285714285714,3.33333333333333,3.4,2.66666666666667,3.8,4,4,4,2.5,1,2,1,1,2,2,2,5,6,7,5,7,32
2.26666666666667,2.28571428571429,5,4.4,2,1,4,4,2,3,1,1,2.5,3,4,3.42857142857143,2.5,3,2.85714285714286,3.5,3.6,3.33333333333333,1.8,1.5,1,2,1.5,2,1,1,3,1,1,1,1,3,1,6,2,3
3.6,3.57142857142857,4.8,4.2,4,3,3,2,3,3,2,3,3.5,2.5,4,2.14285714285714,3.5,4,2.57142857142857,2.5,3,2.83333333333333,3.2,3.5,3.5,3.5,3.5,2,1,1,4,2,3,3,1,1,6,6,6,9
3.93333333333333,4,4.8,3.4,4,3,5,3,2,3,3,3,4.5,4,4.5,1.28571428571429,5,4,2,2.83333333333333,4,2.16666666666667,3.4,4,4.5,4.5,4,1,1,1,3,3,2,3,1,2,4,5,6,32
2.2,2.57142857142857,4.6,2.8,4,4,2,2,3,3,2,3,2.5,2,2,2.42857142857143,2.5,3.5,2.57142857142857,3.66666666666667,3.2,3,4,4,4,4,4.5,0,2,2,1,3,3,3,1,1,6,5,6,38
2.6,2.71428571428571,4,3.2,4,4,4,4,2,2,5,4,4.5,5,5,2.28571428571429,4,4,2,2.66666666666667,3,3.83333333333333,3.6,4,4,4,4.5,1,2,2,3,4,3,2,1,1,5,7,7,32
2.53333333333333,2.85714285714286,4,3.8,4,4,2,2,2,2,4,4,3.5,4,4.5,2.57142857142857,3.5,4,2.42857142857143,3.5,3.4,2.66666666666667,3.4,2.5,4,4,4,0,1,2,4,3,3,3,1,1,2,5,6,21
3,1.71428571428571,4.8,2,3,2,1,1,1,2,2,2,1,1,1,3.14285714285714,1,3.5,3.14285714285714,4.33333333333333,2.6,3.16666666666667,3.2,3,4.5,2,4.5,2,2,2,2,3,3,2,1,1,8,5,6,20
2.66666666666667,2.85714285714286,5.4,2,4,3,4,2,2,3,4,4,4,3,3,2.71428571428571,3,3.5,2.57142857142857,2.83333333333333,3.6,3.5,3.8,4.5,3,2.5,2.5,3,2,2,1,1,1,3,1,4,9,3,6,16
2.4,2,5,2,4,4,3,3,2,3,3,3,4,4,4,2,4,2.5,2.71428571428571,3.16666666666667,4.4,3.5,4.4,3,2,3.5,2.5,1,3,2,1,5,4,2,1,1,4,3,6,35
3,3.28571428571429,5.6,6,5,4,4,4,4,5,4,3,4,4.5,4.5,1.71428571428571,3.5,4.5,2,2.16666666666667,4.2,3.16666666666667,3.4,4.5,4,3.5,4.5,2,2,1,3,3,3,3,1,2,1,6,8,22
3.26666666666667,2.42857142857143,4.8,1.6,4,2,5,2,1,2,5,3,5,3,3,1.28571428571429,2,4,2.5,4.2,4,3.5,3.4,5,4.5,2,4,0,1,2,1,4,2,4,1,2,10,6,6,47
3,2.85714285714286,3.8,2.8,4,4,4,4,2,2,4,4,4,4.5,4,2.57142857142857,4,2.5,2.85714285714286,3.33333333333333,3.6,3.33333333333333,2.8,3,3.5,4,3.5,2,1,2,3,2,2,2,1,1,2,5,6,32
2.93333333333333,2.85714285714286,3.8,4.6,3,3,4,3,2,3,3,4,3.5,3.5,3,3,3,3,2.85714285714286,3,2.8,3,3.2,2.5,3,3,2.5,0,1,2,4,3,3,2,5,1,1,3,1,33
3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,2,3,2,4,1,3,2,6,6,1
4.93333333333333,5,5.2,3.8,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,2.33333333333333,2.8,1.66666666666667,1.4,1,3,1,3,1,2,2,1,5,2,3,2,2,12,8,6,19
3.6,3,6.4,2.6,3,3,3,3,3,3,4,4,5,5,3,1,2,1,1,4,4.2,4.66666666666667,4.2,5,3.5,5,2.5,0,1,2,1,3,3,2,1,1,1,3,8,43
3.26666666666667,3.42857142857143,2.8,3,3,3,3,3,2,3,2,1,3,1.5,2.5,3.85714285714286,3,3.5,3.71428571428571,3.5,2.6,2,3.2,1,2,2,3,1,1,2,4,4,1,3,1,1,1,5,4,35
4.06666666666667,4.71428571428571,5.2,1.6,4,3,5,3,1,3,5,2,3.5,1.5,2,1.57142857142857,1.5,4,3.42857142857143,4.5,4.4,3.16666666666667,3,4.5,5,1.5,3.5,3,2,2,1,3,3,3,4,2,8,5,6,22
3.26666666666667,3.71428571428571,3,2.6,5,4,5,5,2,2,4,4,5,4,5,2,2.5,2.5,2,2.66666666666667,3,4,3.2,4,3.5,4,3.5,1,1,2,1,4,3,3,5,2,3,5,7,16
3.2,2.85714285714286,6.8,1.6,4,3,5,2,3,5,5,3,5,1,1,1.14285714285714,3,5,4.14285714285714,3.5,4,1.83333333333333,2.4,5,5,1.5,3,3,1,2,2,1,1,3,1,1,2,1,4,21
2.73333333333333,2.71428571428571,3.8,3.2,4,4,2,2,4,4,4,4,4.5,3.5,3.5,2.28571428571429,3.5,3.5,2.5,2.33333333333333,3,3.33333333333333,3.4,3.5,2.5,3.5,3.5,0,1,2,2,3,2,2,1,1,3,5,6,4
4.73333333333333,4,5.2,3.2,2,1,1,5,4,5,3,1,1.5,1,1,3.42857142857143,3,4,5,2.83333333333333,2.6,1.66666666666667,2.6,3,3.5,2,3,1,2,2,1,3,3,2,5,1,10,3,4,25
3.26666666666667,2.28571428571429,6,2.8,4,4,5,5,2,2,4,4,5,5,5,1,5,4,1,3.83333333333333,4.8,2.83333333333333,5,5,5,4,4,1,2, ,4,5,2,2,5,1,5,5,6,32
